Time: 320.00 | VS: 22.81 | HS: 443.41 | Dist: -44615.87 | Altitude: 6446.10 | Angle: 58.00° | Weight: 233.33kg | Acc: 2.26 | Fuel: 68.33L | NN: 0.84
Time: 330.00 | VS: 22.81 | HS: 424.09 | Dist: -48944.00 | Altitude: 6218.02 | Angle: 58.00° | Weight: 231.46kg | Acc: 2.30 | Fuel: 66.46L | NN: 0.84
Time: 340.00 | VS: 22.81 | HS: 404.48 | Dist: -53077.30 | Altitude: 5989.95 | Angle: 58.00° | Weight: 229.58kg | Acc: 2.33 | Fuel: 64.58L | NN: 0.85
Time: 350.00 | VS: 22.81 | HS: 384.56 | Dist: -57012.78 | Altitude: 5761.88 | Angle: 58.00° | Weight: 227.69kg | Acc: 2.37 | Fuel: 62.69L | NN: 0.86
Time: 360.00 | VS: 22.81 | HS: 364.34 | Dist: -60747.39 | Altitude: 5533.82 | Angle: 58.00° | Weight: 225.78kg | Acc: 2.40 | Fuel: 60.78L | NN: 0.86
Time: 370.00 | VS: 22.81 | HS: 343.80 | Dist: -64278.06 | Altitude: 5305.75 | Angle: 58.00° | Weight: 223.86kg | Acc: 2.44 | Fuel: 58.86L | NN: 0.87
Time: 380.00 | VS: 22.81 | HS: 322.95 | Dist: -67601.63 | Altitude: 5077.69 | Angle: 58.00° | Weight: 221.93kg | Acc: 2.48 | Fuel: 56.93L | NN: 0.87
Time: 390.00 | VS: 22.81 | HS: 301.78 | Dist: -70714.94 | Altitude: 4849.64 | Angle: 58.00° | Weight: 219.98kg | Acc: 2.52 | Fuel: 54.98L | NN: 0.88
Time: 400.00 | VS: 22.81 | HS: 280.28 | Dist: -73614.74 | Altitude: 4621.58 | Angle: 58.00° | Weight: 218.02kg | Acc: 2.56 | Fuel: 53.02L | NN: 0.88
Time: 410.00 | VS: 22.81 | HS: 258.45 | Dist: -76297.75 | Altitude: 4393.53 | Angle: 58.00° | Weight: 216.05kg | Acc: 2.60 | Fuel: 51.05L | NN: 0.89
Time: 420.00 | VS: 22.80 | HS: 236.29 | Dist: -78760.65 | Altitude: 4165.48 | Angle: 58.00° | Weight: 214.07kg | Acc: 2.64 | Fuel: 49.07L | NN: 0.90
Time: 430.00 | VS: 22.80 | HS: 213.78 | Dist: -81000.04 | Altitude: 3937.43 | Angle: 58.00° | Weight: 212.07kg | Acc: 2.68 | Fuel: 47.07L | NN: 0.90
Time: 440.00 | VS: 22.80 | HS: 190.93 | Dist: -83012.49 | Altitude: 3709.38 | Angle: 58.00° | Weight: 210.07kg | Acc: 2.72 | Fuel: 45.07L | NN: 0.91
Time: 450.00 | VS: 22.80 | HS: 167.73 | Dist: -84794.51 | Altitude: 3481.34 | Angle: 58.00° | Weight: 208.05kg | Acc: 2.76 | Fuel: 43.05L | NN: 0.91
Time: 460.00 | VS: 22.80 | HS: 144.17 | Dist: -86342.56 | Altitude: 3253.30 | Angle: 58.00° | Weight: 206.02kg | Acc: 2.80 | Fuel: 41.02L | NN: 0.92
Time: 470.00 | VS: 22.80 | HS: 120.25 | Dist: -87653.04 | Altitude: 3025.27 | Angle: 58.00° | Weight: 203.98kg | Acc: 2.84 | Fuel: 38.98L | NN: 0.92
Time: 480.00 | VS: 22.80 | HS: 95.97 | Dist: -88722.29 | Altitude: 2797.24 | Angle: 58.00° | Weight: 201.93kg | Acc: 2.89 | Fuel: 36.93L | NN: 0.93
Time: 490.00 | VS: 22.80 | HS: 71.30 | Dist: -89546.62 | Altitude: 2569.21 | Angle: 58.00° | Weight: 199.87kg | Acc: 2.93 | Fuel: 34.87L | NN: 0.93
Time: 500.00 | VS: 22.80 | HS: 46.26 | Dist: -90122.24 | Altitude: 2341.18 | Angle: 58.00° | Weight: 197.80kg | Acc: 2.98 | Fuel: 32.80L | NN: 0.93
Time: 510.00 | VS: 22.80 | HS: 20.84 | Dist: -90445.35 | Altitude: 2113.16 | Angle: 58.00° | Weight: 195.72kg | Acc: 3.02 | Fuel: 30.72L | NN: 0.94
Time: 520.00 | VS: 20.39 | HS: 0.00 | Dist: -90519.89 | Altitude: 1890.87 | Angle: 43.00° | Weight: 193.56kg | Acc: 3.25 | Fuel: 28.56L | NN: 1.00
Time: 530.00 | VS: 15.50 | HS: 0.00 | Dist: -90519.89 | Altitude: 1719.32 | Angle: 13.00° | Weight: 192.03kg | Acc: 1.64 | Fuel: 27.03L | NN: 0.50
Time: 540.00 | VS: 15.73 | HS: 0.00 | Dist: -90519.89 | Altitude: 1564.53 | Angle: 0.00° | Weight: 190.91kg | Acc: 2.28 | Fuel: 25.91L | NN: 0.69
Time: 550.00 | VS: 14.65 | HS: 0.00 | Dist: -90519.89 | Altitude: 1416.30 | Angle: 0.00° | Weight: 189.88kg | Acc: 0.26 | Fuel: 24.88L | NN: 0.08
Time: 560.00 | VS: 13.61 | HS: 0.00 | Dist: -90519.89 | Altitude: 1266.30 | Angle: 0.00° | Weight: 188.59kg | Acc: 2.34 | Fuel: 23.59L | NN: 0.70
Time: 570.00 | VS: 16.12 | HS: 0.00 | Dist: -90519.89 | Altitude: 1120.10 | Angle: 0.00° | Weight: 187.64kg | Acc: 3.05 | Fuel: 22.64L | NN: 0.91
Time: 580.00 | VS: 14.22 | HS: 0.00 | Dist: -90519.89 | Altitude: 979.90 | Angle: 0.00° | Weight: 186.64kg | Acc: 0.00 | Fuel: 21.64L | NN: 0.00
Time: 590.00 | VS: 12.38 | HS: 0.00 | Dist: -90519.89 | Altitude: 836.67 | Angle: 0.00° | Weight: 185.36kg | Acc: 1.58 | Fuel: 20.36L | NN: 0.46
Time: 600.00 | VS: 15.68 | HS: 0.00 | Dist: -90519.89 | Altitude: 694.78 | Angle: 0.00° | Weight: 184.41kg | Acc: 3.28 | Fuel: 19.41L | NN: 0.96
Time: 610.00 | VS: 13.79 | HS: 0.00 | Dist: -90519.89 | Altitude: 559.21 | Angle: 0.00° | Weight: 183.44kg | Acc: 0.00 | Fuel: 18.44L | NN: 0.00
Time: 620.00 | VS: 12.03 | HS: 0.00 | Dist: -90519.89 | Altitude: 419.88 | Angle: 0.00° | Weight: 182.18kg | Acc: 1.60 | Fuel: 17.18L | NN: 0.46
Time: 630.00 | VS: 15.41 | HS: 0.00 | Dist: -90519.89 | Altitude: 281.21 | Angle: 0.00° | Weight: 181.26kg | Acc: 3.24 | Fuel: 16.26L | NN: 0.93
Time: 640.00 | VS: 13.66 | HS: 0.00 | Dist: -90519.89 | Altitude: 147.60 | Angle: 0.00° | Weight: 180.32kg | Acc: 0.00 | Fuel: 15.32L | NN: 0.00
Time: 644.00 | VS: 11.88 | HS: 0.00 | Dist: -90519.89 | Altitude: 91.30 | Angle: 0.00° | Weight: 179.58kg | Acc: 3.37 | Fuel: 14.58L | NN: 0.96
Time: 645.00 | VS: 10.13 | HS: 0.00 | Dist: -90519.89 | Altitude: 81.17 | Angle: 0.00° | Weight: 179.41kg | Acc: 2.71 | Fuel: 14.41L | NN: 0.77
Time: 646.00 | VS: 9.04 | HS: 0.00 | Dist: -90519.89 | Altitude: 72.13 | Angle: 0.00° | Weight: 179.29kg | Acc: 1.95 | Fuel: 14.29L | NN: 0.55
Time: 647.00 | VS: 8.71 | HS: 0.00 | Dist: -90519.89 | Altitude: 63.42 | Angle: 0.00° | Weight: 179.18kg | Acc: 1.72 | Fuel: 14.18L | NN: 0.49
Time: 648.00 | VS: 8.61 | HS: 0.00 | Dist: -90519.89 | Altitude: 54.81 | Angle: 0.00° | Weight: 179.04kg | Acc: 2.26 | Fuel: 14.04L | NN: 0.64
Time: 649.00 | VS: 7.97 | HS: 0.00 | Dist: -90519.89 | Altitude: 46.85 | Angle: 0.00° | Weight: 178.84kg | Acc: 3.03 | Fuel: 13.84L | NN: 0.86
Time: 650.00 | VS: 6.56 | HS: 0.00 | Dist: -90519.89 | Altitude: 40.28 | Angle: 0.00° | Weight: 178.65kg | Acc: 3.13 | Fuel: 13.65L | NN: 0.89
Time: 651.00 | VS: 5.06 | HS: 0.00 | Dist: -90519.89 | Altitude: 35.22 | Angle: 0.00° | Weight: 178.51kg | Acc: 2.23 | Fuel: 13.51L | NN: 0.63
Time: 652.00 | VS: 4.45 | HS: 0.00 | Dist: -90519.89 | Altitude: 30.78 | Angle: 0.00° | Weight: 178.44kg | Acc: 1.00 | Fuel: 13.44L | NN: 0.28
Time: 653.00 | VS: 5.07 | HS: 0.00 | Dist: -90519.89 | Altitude: 25.71 | Angle: 0.00° | Weight: 178.40kg | Acc: 0.64 | Fuel: 13.40L | NN: 0.18
Time: 654.00 | VS: 6.05 | HS: 0.00 | Dist: -90519.89 | Altitude: 19.66 | Angle: 0.00° | Weight: 178.30kg | Acc: 1.67 | Fuel: 13.30L | NN: 0.47
Time: 655.00 | VS: 5.99 | HS: 0.00 | Dist: -90519.89 | Altitude: 13.67 | Angle: 0.00° | Weight: 178.10kg | Acc: 3.23 | Fuel: 13.10L | NN: 0.91
Time: 656.00 | VS: 4.39 | HS: 0.00 | Dist: -90519.89 | Altitude: 9.28 | Angle: 0.00° | Weight: 177.87kg | Acc: 3.54 | Fuel: 12.87L | NN: 1.00
Time: 657.00 | VS: 2.47 | HS: 0.00 | Dist: -90519.89 | Altitude: 6.81 | Angle: 0.00° | Weight: 177.74kg | Acc: 2.12 | Fuel: 12.74L | NN: 0.60
Time: 658.00 | VS: 1.97 | HS: 0.00 | Dist: -90519.89 | Altitude: 4.83 | Angle: 0.00° | Weight: 177.74kg | Acc: 0.08 | Fuel: 12.74L | NN: 0.02

landed
